ID Cliente,Nº Productos,Saldo Promedio,Fecha Alta,Activo (Sí/No)
1,4,59219.53,2020-07-19,Sí
2,2,180500.75,2025-01-25,Sí
3,4,31923.81,2019-10-05,Sí
4,2,242930.14,2023-09-09,Sí
5,2,244899.5,2022-01-14,No
6,4,41253.43,2024-02-29,Sí
7,5,34944.48,2016-02-22,Sí
8,4,109052.01,2021-06-16,Sí
9,2,241283.99,2021-07-29,No
10,3,106074.62,2017-11-10,Sí
11,3,97312.51,2018-12-11,Sí
12,1,178860.41,2021-03-11,Sí
13,3,52895.5,2023-04-04,Sí
14,5,97197.64,2019-01-19,Sí
15,2,79913.79,2022-07-23,Sí
16,4,154368.31,2017-03-04,Sí
17,4,49060.69,2019-04-03,Sí
18,5,141688.3,2022-02-28,No
19,3,215811.18,2022-12-02,Sí
20,2,133400.93,2018-09-26,Sí
21,3,174039.19,2021-03-09,Sí
22,1,28059.52,2022-04-20,Sí
23,3,117761.34,2025-03-05,Sí
24,1,32774.36,2017-08-04,Sí
25,4,153870.8,2021-08-18,Sí
26,2,77453.05,2018-01-09,Sí
27,1,78943.8,2023-03-07,Sí
28,3,28424.02,2020-06-01,Sí
29,3,84457.09,2018-11-06,Sí
30,4,131602.52,2022-06-17,Sí
31,5,150318.42,2019-06-03,Sí
32,5,25999.73,2017-03-30,Sí
33,3,166350.2,2025-05-23,Sí
34,5,127330.18,2015-08-09,Sí
35,2,138857.92,2024-03-18,Sí
36,5,209871.2,2023-06-05,Sí
37,2,92134.35,2021-10-24,Sí
38,3,51772.27,2024-09-19,Sí
39,3,142434.44,2016-12-12,Sí
40,3,236805.26,2025-04-23,No
41,4,134288.71,2017-08-03,Sí
42,5,209658.92,2016-04-29,Sí
43,1,191687.69,2016-04-10,Sí
44,1,134399.39,2016-04-17,Sí
45,3,165413.15,2016-12-18,Sí
46,5,107603.24,2016-03-01,Sí
47,2,137350.89,2016-10-17,No
48,1,131748.58,2019-05-24,Sí
49,3,180186.49,2017-06-14,Sí
50,1,108395.52,2019-10-12,Sí
51,1,33944.11,2019-12-27,Sí
52,1,199290.29,2016-05-07,Sí
53,3,174364.72,2020-08-16,No
54,3,238029.63,2017-05-15,Sí
55,4,112891.88,2024-12-21,Sí
56,4,28769.36,2019-07-26,Sí
57,4,39188.56,2018-06-25,No
58,1,195596.69,2017-12-13,Sí
59,5,26261.75,2025-04-13,Sí
60,3,227878.27,2022-05-23,Sí
61,4,77596.03,2016-08-23,No
62,5,225730.97,2016-05-13,Sí
63,4,195641.64,2015-06-21,Sí
64,4,219088.25,2023-07-06,No
65,5,61369.53,2017-10-30,Sí
66,4,152966.44,2025-01-09,Sí
67,1,32461.39,2017-08-20,Sí
68,1,58547.38,2015-09-09,Sí
69,1,84376.53,2023-01-09,Sí
70,2,187795.02,2019-01-24,Sí
71,4,15931.45,2023-08-21,Sí
72,2,226748.15,2018-12-13,Sí
73,3,26992.84,2022-08-20,Sí
74,5,100357.65,2017-04-28,Sí
75,3,29461.51,2024-01-08,Sí
76,2,194552.28,2017-01-21,Sí
77,1,43915.59,2023-08-01,Sí
78,4,222341.66,2020-09-16,No
79,4,137253.28,2020-10-06,Sí
80,1,237633.48,2021-12-19,Sí
81,4,79686.62,2024-08-10,Sí
82,5,119035.88,2024-06-15,Sí
83,5,176619.27,2019-08-17,Sí
84,5,209659.2,2019-05-31,Sí
85,3,111125.7,2016-01-14,Sí
86,1,224183.81,2020-12-14,Sí
87,5,38316.93,2017-03-08,Sí
88,2,180084.33,2018-02-25,Sí
89,5,93567.76,2022-10-28,Sí
90,3,34320.52,2021-02-01,Sí
91,2,102799.49,2018-10-11,Sí
92,1,221251.75,2022-09-30,Sí
93,1,245328.13,2023-03-20,No
94,5,104271.97,2022-04-23,No
95,2,222739.93,2019-08-01,Sí
96,2,132317.06,2021-09-13,Sí
97,5,182083.61,2023-05-20,Sí
98,5,20889.14,2024-10-02,Sí
99,4,143754.87,2021-01-06,Sí
100,4,26838.86,2024-08-24,Sí
101,5,74468.31,2023-04-27,Sí
102,3,146035.44,2022-04-28,Sí
103,4,203719.3,2022-07-22,Sí
104,5,144614.47,2023-05-30,Sí
105,2,234685.97,2022-09-02,Sí
106,4,204479.8,2022-01-27,Sí
107,3,47497.64,2023-09-03,Sí
108,1,103350.04,2023-08-11,Sí
109,2,170436.5,2016-07-06,No
110,3,235217.45,2021-04-10,Sí
111,3,247051.81,2017-01-05,Sí
