ID Cliente,Score de riesgo,Probabilidad de default
1,411,0.375
2,940,0.35
3,717,0.195
4,876,0.28
5,325,0.405
6,829,0.196
7,945,0.418
8,851,0.299
9,329,0.208
10,889,0.426
11,586,0.239
12,741,0.266
13,738,0.258
14,463,0.42
15,634,0.414
16,713,0.237
17,859,0.463
18,889,0.405
19,922,0.068
20,642,0.25
21,582,0.526
22,663,0.493
23,553,0.112
24,746,0.319
25,937,0.505
26,697,0.284
27,470,0.105
28,502,0.128
29,785,0.059
30,940,0.368
31,579,0.111
32,703,0.302
33,755,0.127
34,307,0.262
35,681,0.171
36,317,0.477
37,801,0.131
38,421,0.349
39,793,0.107
40,425,0.277
41,894,0.316
42,696,0.395
43,788,0.268
44,731,0.33
45,487,0.542
46,453,0.324
47,423,0.295
48,608,0.127
49,906,0.325
50,421,0.149
51,370,0.249
52,403,0.18
53,965,0.125
54,670,0.195
55,972,0.374
56,460,0.245
57,991,0.322
58,979,0.161
59,687,0.161
60,711,0.079
61,353,0.075
62,751,0.191
63,860,0.382
64,945,0.096
65,432,0.146
66,445,0.335
67,430,0.775
68,653,0.304
69,933,0.447
70,813,0.13
71,364,0.3
72,734,0.481
73,334,0.462
74,627,0.038
75,727,0.214
76,633,0.347
77,597,0.271
78,412,0.153
79,393,0.13
80,925,0.063
81,818,0.311
82,696,0.079
83,833,0.811
84,356,0.473
85,472,0.597
86,993,0.699
87,301,0.416
88,755,0.394
89,768,0.235
90,417,0.302
91,895,0.345
92,855,0.514
93,880,0.015
94,864,0.211
95,795,0.257
96,631,0.149
97,811,0.515
98,940,0.259
99,462,0.448
100,550,0.411
101,836,0.682
102,943,0.499
103,628,0.123
104,417,0.664
105,668,0.425
106,414,0.117
107,936,0.08
108,494,0.175
109,905,0.355
110,938,0.192
111,437,0.372
112,959,0.174
113,595,0.22
114,374,0.404
115,314,0.163
116,671,0.198
117,455,0.562
118,334,0.373
119,818,0.212
120,481,0.267
121,469,0.164
122,796,0.194
123,593,0.149
124,356,0.287
125,663,0.178
126,935,0.112
127,894,0.416
128,636,0.569
129,301,0.649
130,722,0.335
131,773,0.402
132,445,0.243
133,625,0.437
134,887,0.113
135,529,0.268
136,568,0.374
137,884,0.23
138,917,0.058
139,821,0.362
140,564,0.137
141,948,0.325
142,517,0.511
143,523,0.251
144,660,0.423
145,590,0.047
146,453,0.533
147,980,0.149
148,664,0.23
149,405,0.221
150,932,0.11
151,878,0.031
152,584,0.239
153,895,0.55
154,825,0.397
155,479,0.399
156,338,0.077
157,576,0.337
158,811,0.278
159,305,0.093
160,482,0.239
161,851,0.514
162,964,0.252
163,687,0.265
164,772,0.225
165,765,0.299
166,388,0.263
167,833,0.214
168,611,0.164
169,601,0.349
170,419,0.339
171,995,0.098
172,758,0.248
173,389,0.201
174,415,0.316
175,974,0.107
176,699,0.201
177,799,0.502
178,915,0.515
179,959,0.216
180,409,0.305
181,499,0.172
182,524,0.186
183,891,0.307
184,519,0.227
185,953,0.544
186,372,0.103
187,734,0.413
188,971,0.113
189,891,0.265
190,414,0.302
191,324,0.281
192,476,0.036
193,578,0.288
194,592,0.312
195,519,0.511
196,302,0.439
197,614,0.418
198,706,0.118
199,844,0.086
200,993,0.032
201,850,0.052
202,452,0.294
203,362,0.226
204,388,0.379
205,402,0.236
206,802,0.206
207,998,0.184
208,458,0.131
209,860,0.141
210,658,0.367
211,999,0.216
212,789,0.342
213,491,0.099
214,543,0.105
215,882,0.413
216,376,0.194
217,390,0.119
218,867,0.214
219,687,0.566
220,917,0.144
221,586,0.207
222,735,0.087
223,346,0.33
224,606,0.414
225,413,0.387
226,357,0.431
227,343,0.038
228,653,0.201
